Item#,Total sales,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24,Total Sale,Sold out?,Sold out time
611,3122,0.119,0.019,0.081,0.069,0.033,0.080,0.062,0.026,0.072,0.039,0.014,0.015,0.027,0.020,0.039,0.037,0.023,0.036,0.021,0.034,0.026,0.020,0.045,0.026,0.983,0,
612,3242,0.123,0.038,0.066,0.049,0.064,0.006,0.058,0.043,0.049,0.025,0.071,0.028,0.049,0.041,0.026,0.022,0.025,0.020,0.031,0.043,0.030,0.036,0.009,0.028,0.982,0,
613,3007,0.143,0.071,0.026,0.062,0.068,0.032,0.003,0.065,0.002,0.061,0.032,0.034,0.061,0.107,0.045,0.029,0.043,0.039,0.018,0.033,0.015,0.012,0.001,0.000,1.000,1,
614,4466,0.147,0.073,0.048,0.058,0.070,0.020,0.021,0.021,0.083,0.011,0.000,0.006,0.014,0.097,0.029,0.036,0.033,0.035,0.015,0.012,0.027,0.018,0.045,0.027,0.946,0,
615,3358,0.127,0.057,0.029,0.076,0.079,0.016,0.043,0.064,0.083,0.006,0.024,0.054,0.000,0.065,0.044,0.022,0.046,0.037,0.018,0.032,0.032,0.010,0.025,0.000,0.991,0,
616,3509,0.146,0.040,0.044,0.066,0.039,0.072,0.027,0.081,0.065,0.028,0.066,0.082,0.012,0.034,0.040,0.044,0.042,0.043,0.025,0.004,0.000,0.000,0.000,0.000,1.000,1,
617,6847,0.140,0.018,0.022,0.020,0.071,0.029,0.062,0.042,0.015,0.067,0.074,0.066,0.070,0.080,0.031,0.026,0.034,0.021,0.022,0.006,0.046,0.005,0.031,0.000,0.996,0,
618,3592,0.120,0.050,0.040,0.024,0.082,0.063,0.036,0.049,0.036,0.078,0.023,0.054,0.005,0.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
619,6406,0.108,0.036,0.058,0.013,0.045,0.062,0.037,0.019,0.010,0.078,0.007,0.053,0.077,0.036,0.043,0.047,0.038,0.028,0.007,0.041,0.040,0.028,0.001,0.050,0.962,0,
620,4254,0.137,0.040,0.011,0.042,0.016,0.083,0.005,0.043,0.075,0.054,0.004,0.055,0.062,0.068,0.049,0.045,0.041,0.028,0.038,0.013,0.044,0.011,0.021,0.012,1.000,0,
621,6872,0.116,0.059,0.047,0.001,0.031,0.009,0.003,0.035,0.015,0.075,0.024,0.038,0.052,0.066,0.021,0.042,0.033,0.045,0.048,0.035,0.011,0.011,0.036,0.004,0.857,0,
622,5441,0.123,0.043,0.022,0.001,0.073,0.014,0.026,0.082,0.049,0.017,0.022,0.071,0.012,0.021,0.045,0.027,0.044,0.033,0.033,0.016,0.038,0.023,0.005,0.021,0.861,0,
623,3537,0.148,0.079,0.038,0.049,0.069,0.005,0.010,0.039,0.055,0.032,0.025,0.051,0.007,0.009,0.048,0.030,0.046,0.045,0.044,0.014,0.040,0.030,0.035,0.040,0.988,0,
624,3353,0.106,0.080,0.061,0.030,0.043,0.049,0.065,0.047,0.060,0.013,0.002,0.072,0.074,0.126,0.038,0.021,0.050,0.036,0.015,0.009,0.005,0.000,0.000,0.000,1.000,1,
625,3099,0.149,0.038,0.036,0.006,0.070,0.070,0.082,0.055,0.063,0.033,0.071,0.045,0.066,0.215,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
626,3945,0.103,0.049,0.044,0.025,0.045,0.053,0.057,0.003,0.003,0.008,0.007,0.008,0.042,0.058,0.031,0.046,0.024,0.038,0.042,0.049,0.046,0.036,0.027,0.026,0.870,0,
627,3089,0.102,0.061,0.078,0.050,0.001,0.079,0.055,0.000,0.045,0.043,0.025,0.019,0.050,0.092,0.028,0.027,0.028,0.032,0.030,0.044,0.016,0.029,0.041,0.026,1.000,0,
628,6217,0.132,0.055,0.020,0.066,0.040,0.018,0.029,0.069,0.052,0.013,0.056,0.066,0.038,0.065,0.036,0.044,0.044,0.047,0.022,0.046,0.034,0.008,0.000,0.000,1.000,1,
629,5926,0.144,0.082,0.023,0.019,0.072,0.017,0.075,0.054,0.048,0.006,0.028,0.075,0.008,0.084,0.032,0.049,0.029,0.029,0.023,0.007,0.011,0.027,0.042,0.015,1.000,0,
630,6257,0.143,0.053,0.019,0.043,0.002,0.045,0.073,0.020,0.039,0.044,0.015,0.039,0.046,0.072,0.033,0.022,0.036,0.020,0.033,0.021,0.027,0.032,0.009,0.007,0.890,0,
631,3561,0.103,0.019,0.014,0.047,0.010,0.075,0.033,0.014,0.026,0.036,0.066,0.058,0.057,0.022,0.029,0.036,0.048,0.044,0.002,0.015,0.020,0.008,0.000,0.027,0.809,0,
632,5839,0.103,0.043,0.027,0.070,0.036,0.016,0.003,0.055,0.007,0.045,0.037,0.012,0.075,0.070,0.023,0.048,0.041,0.035,0.021,0.004,0.037,0.021,0.045,0.031,0.905,0,
633,3739,0.130,0.042,0.044,0.007,0.011,0.027,0.012,0.019,0.002,0.060,0.032,0.079,0.044,0.104,0.020,0.029,0.046,0.048,0.048,0.012,0.008,0.023,0.018,0.026,0.892,0,
634,3861,0.139,0.082,0.042,0.029,0.003,0.072,0.045,0.080,0.048,0.010,0.079,0.053,0.064,0.052,0.024,0.026,0.043,0.024,0.001,0.010,0.033,0.020,0.009,0.012,1.000,0,
635,5052,0.115,0.039,0.052,0.035,0.071,0.073,0.019,0.002,0.001,0.048,0.032,0.068,0.026,0.418,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
636,4756,0.135,0.032,0.046,0.042,0.061,0.023,0.045,0.034,0.029,0.076,0.007,0.019,0.071,0.097,0.047,0.040,0.034,0.023,0.029,0.007,0.005,0.043,0.030,0.024,1.000,0,
637,4282,0.124,0.008,0.012,0.003,0.064,0.051,0.024,0.066,0.074,0.049,0.078,0.066,0.048,0.085,0.043,0.046,0.027,0.022,0.031,0.027,0.041,0.000,0.000,0.000,0.988,0,
638,2855,0.146,0.016,0.038,0.047,0.071,0.026,0.045,0.017,0.011,0.053,0.071,0.074,0.055,0.009,0.032,0.022,0.041,0.044,0.017,0.012,0.033,0.018,0.006,0.016,0.919,0,
639,7442,0.133,0.032,0.064,0.066,0.048,0.041,0.066,0.015,0.029,0.030,0.041,0.031,0.002,0.071,0.030,0.020,0.034,0.037,0.043,0.032,0.024,0.029,0.019,0.011,0.948,0,
640,3210,0.125,0.079,0.066,0.009,0.066,0.035,0.063,0.057,0.074,0.037,0.037,0.001,0.073,0.077,0.048,0.030,0.045,0.026,0.032,0.019,0.000,0.000,0.000,0.000,1.000,1,
641,3802,0.134,0.022,0.034,0.037,0.060,0.076,0.060,0.072,0.027,0.055,0.015,0.047,0.058,0.172,0.038,0.037,0.038,0.017,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
642,6301,0.130,0.035,0.011,0.026,0.010,0.030,0.028,0.064,0.004,0.006,0.070,0.043,0.073,0.064,0.040,0.043,0.046,0.028,0.022,0.034,0.003,0.044,0.050,0.004,0.907,0,
643,3871,0.150,0.019,0.006,0.014,0.055,0.030,0.037,0.039,0.060,0.043,0.011,0.046,0.053,0.250,0.037,0.042,0.036,0.034,0.032,0.007,0.000,0.000,0.000,0.000,1.000,1,
644,3820,0.146,0.057,0.027,0.058,0.054,0.022,0.006,0.067,0.038,0.013,0.008,0.000,0.061,0.194,0.036,0.028,0.026,0.040,0.046,0.034,0.010,0.028,0.000,0.000,1.000,1,
645,3617,0.148,0.009,0.076,0.007,0.023,0.049,0.019,0.037,0.080,0.076,0.002,0.005,0.038,0.054,0.042,0.031,0.036,0.024,0.014,0.030,0.036,0.008,0.020,0.016,0.878,0,
646,4670,0.129,0.030,0.012,0.027,0.057,0.036,0.067,0.013,0.033,0.038,0.020,0.010,0.030,0.018,0.023,0.049,0.023,0.046,0.023,0.033,0.042,0.002,0.040,0.029,0.829,0,
647,4906,0.119,0.004,0.019,0.073,0.005,0.045,0.072,0.021,0.009,0.030,0.030,0.057,0.035,0.049,0.031,0.027,0.030,0.042,0.029,0.009,0.008,0.017,0.012,0.039,0.814,0,
648,5468,0.144,0.082,0.023,0.019,0.072,0.017,0.075,0.054,0.048,0.006,0.028,0.075,0.008,0.084,0.032,0.049,0.029,0.029,0.023,0.007,0.011,0.027,0.042,0.015,1.000,0,
649,3875,0.123,0.081,0.051,0.028,0.067,0.046,0.065,0.039,0.066,0.036,0.082,0.042,0.014,0.261,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
650,4870,0.117,0.027,0.066,0.017,0.043,0.046,0.078,0.031,0.008,0.001,0.006,0.014,0.025,0.491,0.025,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
651,3304,0.138,0.050,0.047,0.077,0.006,0.011,0.020,0.063,0.018,0.032,0.039,0.035,0.067,0.012,0.026,0.037,0.036,0.031,0.030,0.024,0.019,0.014,0.005,0.035,0.876,0,
652,3359,0.104,0.018,0.012,0.051,0.079,0.001,0.080,0.009,0.002,0.082,0.080,0.008,0.073,0.079,0.031,0.028,0.024,0.024,0.022,0.027,0.046,0.019,0.024,0.048,0.970,0,
653,3914,0.149,0.023,0.082,0.034,0.077,0.080,0.064,0.081,0.039,0.068,0.068,0.057,0.057,0.014,0.045,0.045,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
654,3203,0.117,0.056,0.079,0.054,0.060,0.066,0.067,0.067,0.081,0.018,0.046,0.016,0.079,0.041,0.035,0.034,0.032,0.030,0.006,0.014,0.002,0.000,0.000,0.000,1.000,1,
655,4808,0.138,0.028,0.071,0.077,0.076,0.033,0.076,0.060,0.035,0.067,0.071,0.062,0.076,0.028,0.024,0.045,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
656,3055,0.105,0.057,0.043,0.006,0.023,0.006,0.024,0.040,0.010,0.006,0.042,0.076,0.044,0.070,0.038,0.043,0.036,0.025,0.005,0.017,0.019,0.017,0.040,0.019,0.811,0,
657,5187,0.134,0.024,0.058,0.058,0.061,0.041,0.031,0.009,0.048,0.013,0.033,0.077,0.026,0.341,0.044,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
658,5356,0.105,0.047,0.082,0.004,0.070,0.016,0.009,0.001,0.036,0.041,0.072,0.074,0.020,0.097,0.047,0.048,0.038,0.034,0.009,0.038,0.035,0.021,0.037,0.010,0.990,0,
659,2851,0.132,0.040,0.079,0.067,0.017,0.014,0.051,0.008,0.077,0.064,0.036,0.057,0.025,0.003,0.029,0.028,0.020,0.040,0.038,0.016,0.019,0.024,0.017,0.018,0.919,0,
660,3667,0.129,0.065,0.037,0.005,0.023,0.045,0.019,0.006,0.043,0.029,0.081,0.001,0.017,0.145,0.029,0.035,0.047,0.034,0.046,0.024,0.042,0.006,0.043,0.043,0.994,0,
661,3748,0.146,0.036,0.019,0.038,0.011,0.025,0.029,0.005,0.013,0.063,0.033,0.001,0.026,0.287,0.027,0.039,0.043,0.044,0.018,0.020,0.034,0.017,0.027,0.000,1.000,1,
662,2882,0.134,0.054,0.009,0.065,0.010,0.070,0.030,0.083,0.009,0.017,0.069,0.006,0.016,0.036,0.027,0.039,0.032,0.042,0.027,0.031,0.037,0.032,0.024,0.048,0.947,0,
663,5121,0.148,0.022,0.008,0.058,0.011,0.079,0.055,0.012,0.081,0.064,0.067,0.043,0.042,0.024,0.050,0.044,0.048,0.028,0.011,0.026,0.046,0.033,0.000,0.000,1.000,1,
664,4036,0.141,0.041,0.033,0.056,0.021,0.014,0.016,0.003,0.049,0.051,0.033,0.021,0.009,0.073,0.026,0.030,0.041,0.032,0.041,0.014,0.002,0.030,0.008,0.015,0.800,0,
665,3237,0.146,0.048,0.023,0.015,0.051,0.043,0.018,0.010,0.026,0.012,0.011,0.012,0.037,0.027,0.026,0.037,0.044,0.036,0.010,0.047,0.002,0.012,0.001,0.044,0.735,0,
666,3106,0.140,0.054,0.017,0.015,0.064,0.074,0.038,0.025,0.049,0.004,0.029,0.047,0.015,0.107,0.050,0.044,0.024,0.048,0.037,0.050,0.003,0.030,0.030,0.005,1.000,0,
667,2804,0.109,0.047,0.024,0.067,0.071,0.057,0.075,0.028,0.012,0.070,0.009,0.024,0.072,0.016,0.029,0.040,0.026,0.028,0.048,0.044,0.034,0.010,0.021,0.030,0.990,0,
668,3807,0.121,0.025,0.079,0.032,0.009,0.016,0.013,0.070,0.026,0.052,0.023,0.062,0.007,0.062,0.049,0.032,0.024,0.023,0.042,0.018,0.009,0.016,0.046,0.022,0.880,0,
669,2961,0.137,0.037,0.056,0.077,0.075,0.016,0.026,0.019,0.075,0.023,0.076,0.054,0.060,0.067,0.038,0.026,0.031,0.030,0.034,0.018,0.024,0.000,0.000,0.000,1.000,1,
670,3131,0.115,0.069,0.057,0.067,0.015,0.068,0.025,0.083,0.024,0.013,0.017,0.073,0.054,0.032,0.049,0.032,0.035,0.028,0.037,0.012,0.022,0.028,0.027,0.011,0.991,0,
671,10553,0.145,0.070,0.074,0.030,0.083,0.076,0.013,0.059,0.029,0.083,0.044,0.007,0.049,0.146,0.033,0.047,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
672,3917,0.102,0.027,0.034,0.010,0.036,0.031,0.081,0.034,0.036,0.076,0.066,0.082,0.052,0.045,0.040,0.039,0.038,0.024,0.033,0.037,0.046,0.000,0.000,0.000,0.970,0,
673,6018,0.148,0.031,0.071,0.079,0.072,0.001,0.064,0.005,0.075,0.053,0.072,0.034,0.047,0.247,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
674,5631,0.113,0.018,0.048,0.076,0.000,0.024,0.069,0.066,0.010,0.048,0.037,0.070,0.015,0.178,0.029,0.022,0.021,0.027,0.037,0.037,0.031,0.003,0.016,0.004,0.999,0,
675,4106,0.140,0.014,0.074,0.058,0.078,0.056,0.015,0.078,0.055,0.075,0.077,0.011,0.018,0.058,0.033,0.044,0.041,0.030,0.006,0.029,0.009,0.000,0.000,0.000,1.000,1,
676,3198,0.130,0.036,0.076,0.065,0.010,0.080,0.049,0.001,0.079,0.002,0.003,0.010,0.061,0.376,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
677,5441,0.106,0.077,0.024,0.083,0.078,0.035,0.063,0.006,0.047,0.020,0.036,0.023,0.013,0.216,0.027,0.049,0.033,0.032,0.020,0.013,0.000,0.000,0.000,0.000,1.000,1,
678,3423,0.142,0.050,0.023,0.016,0.029,0.079,0.038,0.065,0.045,0.054,0.008,0.033,0.018,0.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
679,3444,0.124,0.031,0.050,0.040,0.007,0.059,0.065,0.005,0.078,0.058,0.049,0.039,0.054,0.077,0.049,0.039,0.027,0.033,0.047,0.047,0.022,0.000,0.000,0.000,1.000,1,
680,5242,0.142,0.048,0.054,0.014,0.064,0.024,0.019,0.041,0.075,0.023,0.021,0.038,0.056,0.035,0.048,0.020,0.030,0.044,0.010,0.032,0.013,0.013,0.023,0.042,0.930,0,
681,4275,0.143,0.026,0.079,0.055,0.026,0.053,0.044,0.073,0.081,0.035,0.006,0.009,0.076,0.022,0.026,0.025,0.041,0.037,0.025,0.019,0.015,0.048,0.024,0.000,0.985,0,
682,8291,0.122,0.061,0.036,0.036,0.052,0.056,0.061,0.049,0.021,0.063,0.055,0.011,0.079,0.041,0.039,0.033,0.030,0.037,0.045,0.029,0.014,0.000,0.000,0.000,0.970,0,
683,4035,0.112,0.074,0.073,0.069,0.023,0.030,0.079,0.013,0.075,0.001,0.064,0.010,0.055,0.064,0.043,0.044,0.045,0.043,0.048,0.029,0.006,0.000,0.000,0.000,1.000,1,
684,3314,0.130,0.067,0.076,0.056,0.055,0.065,0.001,0.009,0.042,0.007,0.078,0.001,0.041,0.062,0.041,0.033,0.035,0.032,0.027,0.020,0.017,0.019,0.032,0.001,0.949,0,
685,5370,0.118,0.054,0.071,0.019,0.028,0.062,0.050,0.041,0.060,0.082,0.056,0.002,0.042,0.161,0.034,0.040,0.026,0.042,0.012,0.000,0.000,0.000,0.000,0.000,1.000,1,
686,3931,0.138,0.055,0.004,0.038,0.050,0.071,0.038,0.057,0.005,0.058,0.013,0.020,0.035,0.030,0.045,0.020,0.043,0.023,0.038,0.015,0.037,0.022,0.045,0.018,0.918,0,
687,5468,0.107,0.035,0.064,0.067,0.073,0.032,0.024,0.068,0.008,0.028,0.073,0.032,0.009,0.019,0.034,0.049,0.034,0.038,0.008,0.024,0.005,0.040,0.008,0.041,0.921,0,
688,5105,0.146,0.013,0.011,0.004,0.023,0.032,0.027,0.029,0.038,0.073,0.052,0.001,0.020,0.218,0.039,0.038,0.023,0.050,0.046,0.035,0.019,0.035,0.026,0.002,1.000,0,
689,3890,0.110,0.075,0.062,0.059,0.020,0.011,0.066,0.072,0.028,0.073,0.032,0.003,0.035,0.051,0.021,0.035,0.023,0.038,0.031,0.044,0.002,0.015,0.028,0.009,0.944,0,
690,4545,0.128,0.074,0.054,0.068,0.031,0.006,0.004,0.024,0.034,0.025,0.049,0.018,0.076,0.057,0.046,0.043,0.026,0.025,0.048,0.048,0.037,0.014,0.029,0.000,0.962,0,
691,3837,0.116,0.026,0.071,0.029,0.029,0.027,0.053,0.054,0.025,0.059,0.005,0.046,0.047,0.031,0.021,0.028,0.032,0.044,0.028,0.005,0.034,0.047,0.044,0.023,0.922,0,
692,7571,0.146,0.073,0.011,0.049,0.011,0.049,0.046,0.019,0.065,0.080,0.047,0.055,0.006,0.064,0.024,0.039,0.049,0.025,0.019,0.046,0.010,0.022,0.009,0.038,1.000,0,
693,3806,0.129,0.053,0.004,0.026,0.082,0.032,0.004,0.063,0.014,0.004,0.020,0.011,0.061,0.068,0.034,0.031,0.034,0.032,0.027,0.009,0.046,0.008,0.011,0.042,0.845,0,
694,2831,0.108,0.079,0.073,0.012,0.024,0.077,0.027,0.019,0.018,0.052,0.021,0.015,0.041,0.090,0.025,0.044,0.038,0.040,0.019,0.034,0.029,0.048,0.033,0.034,1.000,0,
695,4490,0.130,0.045,0.042,0.076,0.044,0.081,0.037,0.023,0.037,0.011,0.017,0.068,0.002,0.030,0.048,0.039,0.032,0.037,0.025,0.016,0.018,0.016,0.025,0.036,0.935,0,
696,4773,0.135,0.070,0.078,0.003,0.069,0.002,0.031,0.013,0.076,0.035,0.013,0.037,0.078,0.061,0.026,0.041,0.042,0.028,0.042,0.041,0.003,0.007,0.015,0.044,0.986,0,
697,4143,0.108,0.043,0.083,0.001,0.078,0.035,0.040,0.007,0.013,0.063,0.037,0.061,0.049,0.055,0.042,0.027,0.042,0.033,0.013,0.040,0.035,0.002,0.040,0.034,0.978,0,
698,5217,0.102,0.026,0.078,0.020,0.024,0.030,0.010,0.015,0.058,0.045,0.045,0.055,0.064,0.036,0.031,0.039,0.034,0.033,0.011,0.046,0.019,0.020,0.041,0.048,0.928,0,
699,3022,0.121,0.083,0.076,0.020,0.074,0.047,0.078,0.041,0.083,0.058,0.070,0.072,0.077,0.025,0.045,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
700,12871,0.143,0.018,0.037,0.055,0.068,0.065,0.024,0.018,0.024,0.042,0.021,0.004,0.057,0.143,0.039,0.042,0.036,0.024,0.025,0.038,0.030,0.023,0.017,0.010,1.000,0,
701,4190,0.127,0.001,0.007,0.020,0.016,0.082,0.043,0.064,0.035,0.071,0.007,0.007,0.024,0.039,0.050,0.024,0.049,0.045,0.015,0.020,0.020,0.037,0.019,0.001,0.822,0,
702,2981,0.139,0.032,0.002,0.026,0.030,0.034,0.064,0.049,0.018,0.065,0.060,0.051,0.056,0.068,0.035,0.026,0.025,0.020,0.048,0.006,0.005,0.028,0.026,0.004,0.918,0,
703,3985,0.132,0.075,0.036,0.052,0.035,0.013,0.079,0.053,0.032,0.051,0.032,0.007,0.057,0.099,0.045,0.031,0.028,0.047,0.026,0.023,0.034,0.013,0.000,0.000,1.000,1,
704,5540,0.104,0.007,0.058,0.054,0.079,0.060,0.022,0.048,0.058,0.078,0.034,0.064,0.049,0.098,0.023,0.046,0.026,0.047,0.017,0.028,0.000,0.000,0.000,0.000,1.000,1,
705,2944,0.103,0.007,0.016,0.072,0.080,0.048,0.051,0.062,0.053,0.061,0.045,0.028,0.015,0.094,0.044,0.036,0.040,0.037,0.007,0.036,0.007,0.020,0.017,0.024,1.000,0,
706,5430,0.124,0.043,0.032,0.059,0.022,0.032,0.077,0.070,0.057,0.001,0.050,0.069,0.081,0.130,0.021,0.022,0.034,0.034,0.036,0.004,0.000,0.000,0.000,0.000,1.000,1,
707,3481,0.115,0.012,0.064,0.055,0.049,0.076,0.031,0.071,0.032,0.064,0.040,0.029,0.002,0.032,0.031,0.049,0.043,0.048,0.014,0.032,0.041,0.043,0.027,0.000,1.000,1,
708,5181,0.117,0.017,0.068,0.070,0.056,0.010,0.077,0.023,0.015,0.013,0.059,0.049,0.009,0.139,0.049,0.043,0.029,0.035,0.035,0.048,0.038,0.000,0.000,0.000,1.000,1,
709,6113,0.124,0.018,0.072,0.053,0.018,0.054,0.047,0.054,0.008,0.002,0.039,0.042,0.080,0.082,0.024,0.049,0.026,0.031,0.046,0.041,0.005,0.017,0.008,0.007,0.946,0,
710,5794,0.119,0.012,0.004,0.062,0.015,0.005,0.011,0.065,0.043,0.017,0.075,0.020,0.059,0.030,0.050,0.041,0.028,0.033,0.029,0.026,0.013,0.046,0.015,0.015,0.832,0,
711,4413,0.150,0.060,0.025,0.042,0.042,0.058,0.006,0.026,0.080,0.025,0.043,0.007,0.062,0.091,0.044,0.029,0.023,0.047,0.035,0.050,0.018,0.003,0.035,0.000,1.000,1,
712,4451,0.125,0.054,0.052,0.035,0.080,0.032,0.007,0.074,0.078,0.042,0.063,0.026,0.012,0.077,0.034,0.042,0.040,0.048,0.021,0.034,0.024,0.001,0.000,0.000,1.000,1,
713,6204,0.118,0.059,0.002,0.073,0.038,0.014,0.068,0.076,0.011,0.076,0.062,0.032,0.062,0.038,0.026,0.038,0.028,0.022,0.024,0.041,0.031,0.042,0.019,0.000,1.000,1,
714,3795,0.146,0.019,0.017,0.018,0.072,0.029,0.060,0.069,0.056,0.010,0.042,0.033,0.025,0.017,0.020,0.034,0.041,0.048,0.020,0.021,0.033,0.047,0.014,0.011,0.900,0,
715,3704,0.142,0.057,0.011,0.056,0.043,0.021,0.029,0.082,0.049,0.017,0.071,0.040,0.026,0.069,0.024,0.045,0.044,0.039,0.034,0.024,0.032,0.011,0.025,0.010,1.000,0,
716,3322,0.129,0.077,0.004,0.051,0.060,0.045,0.056,0.080,0.070,0.025,0.013,0.020,0.062,0.227,0.028,0.023,0.029,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
717,3557,0.150,0.069,0.036,0.037,0.021,0.022,0.044,0.074,0.056,0.012,0.004,0.016,0.070,0.061,0.044,0.037,0.033,0.044,0.012,0.047,0.033,0.047,0.028,0.003,1.000,0,
718,4234,0.135,0.034,0.001,0.076,0.041,0.018,0.030,0.074,0.058,0.004,0.074,0.064,0.063,0.014,0.032,0.042,0.024,0.046,0.026,0.016,0.029,0.034,0.033,0.027,0.994,0,
719,5604,0.124,0.014,0.020,0.030,0.082,0.079,0.042,0.015,0.021,0.082,0.062,0.000,0.042,0.145,0.034,0.035,0.044,0.049,0.025,0.025,0.031,0.000,0.000,0.000,1.000,1,
720,3960,0.140,0.075,0.024,0.048,0.002,0.063,0.068,0.075,0.067,0.033,0.053,0.078,0.061,0.053,0.028,0.021,0.036,0.042,0.005,0.001,0.014,0.014,0.000,0.000,1.000,1,
721,9552,0.118,0.079,0.018,0.066,0.065,0.055,0.058,0.079,0.062,0.060,0.069,0.005,0.014,0.096,0.023,0.037,0.035,0.024,0.032,0.005,0.000,0.000,0.000,0.000,1.000,1,
722,4076,0.101,0.048,0.024,0.076,0.012,0.067,0.028,0.011,0.020,0.079,0.064,0.060,0.009,0.025,0.043,0.025,0.036,0.035,0.049,0.010,0.044,0.010,0.019,0.041,0.934,0,
723,3050,0.141,0.013,0.056,0.028,0.062,0.061,0.046,0.083,0.028,0.071,0.052,0.060,0.014,0.030,0.029,0.026,0.046,0.044,0.047,0.010,0.048,0.005,0.000,0.000,1.000,1,
724,5532,0.144,0.014,0.018,0.043,0.070,0.077,0.038,0.031,0.042,0.014,0.042,0.017,0.045,0.023,0.038,0.034,0.027,0.048,0.006,0.015,0.016,0.028,0.039,0.006,0.875,0,
725,3560,0.115,0.058,0.013,0.041,0.010,0.011,0.041,0.019,0.077,0.070,0.066,0.026,0.035,0.088,0.046,0.035,0.046,0.048,0.001,0.048,0.004,0.034,0.041,0.021,0.991,0,
726,4608,0.132,0.074,0.015,0.080,0.071,0.071,0.034,0.039,0.081,0.045,0.022,0.016,0.068,0.166,0.031,0.028,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1,
727,5478,0.137,0.016,0.049,0.082,0.059,0.082,0.021,0.082,0.017,0.072,0.059,0.017,0.038,0.040,0.033,0.049,0.038,0.033,0.000,0.028,0.023,0.026,0.000,0.000,1.000,1,
728,5210,0.138,0.060,0.045,0.010,0.024,0.020,0.018,0.028,0.028,0.072,0.007,0.080,0.074,0.110,0.029,0.042,0.024,0.041,0.047,0.046,0.026,0.020,0.010,0.000,1.000,1,
729,2884,0.122,0.073,0.081,0.020,0.019,0.044,0.031,0.054,0.032,0.033,0.016,0.016,0.026,0.061,0.034,0.021,0.047,0.034,0.005,0.037,0.013,0.024,0.034,0.013,0.889,0,
730,7285,0.104,0.025,0.006,0.065,0.061,0.023,0.041,0.018,0.044,0.039,0.046,0.033,0.048,0.158,0.029,0.037,0.020,0.027,0.027,0.013,0.005,0.005,0.045,0.019,0.937,0,
731,3442,0.125,0.039,0.047,0.063,0.015,0.010,0.015,0.035,0.001,0.049,0.018,0.082,0.015,0.168,0.028,0.038,0.028,0.035,0.000,0.026,0.012,0.032,0.036,0.018,0.933,0,
732,6932,0.116,0.021,0.065,0.038,0.014,0.039,0.008,0.007,0.066,0.024,0.034,0.018,0.021,0.052,0.032,0.043,0.028,0.029,0.034,0.041,0.048,0.013,0.002,0.021,0.811,0,
733,4228,0.121,0.058,0.049,0.040,0.050,0.030,0.081,0.008,0.007,0.060,0.062,0.063,0.055,0.053,0.042,0.036,0.027,0.026,0.045,0.034,0.032,0.020,0.000,0.000,1.000,1,
734,4331,0.137,0.024,0.075,0.043,0.071,0.037,0.079,0.069,0.049,0.036,0.014,0.080,0.057,0.080,0.031,0.046,0.045,0.026,0.003,0.000,0.000,0.000,0.000,0.000,1.000,1,
735,2757,0.105,0.003,0.078,0.027,0.016,0.047,0.004,0.040,0.027,0.076,0.054,0.045,0.036,0.280,0.023,0.020,0.049,0.047,0.020,0.000,0.000,0.000,0.000,0.000,1.000,1,
736,4573,0.104,0.050,0.079,0.005,0.042,0.016,0.033,0.019,0.081,0.054,0.062,0.047,0.044,0.053,0.025,0.043,0.031,0.035,0.031,0.041,0.037,0.004,0.000,0.029,0.968,0,
737,6292,0.144,0.014,0.024,0.035,0.049,0.029,0.039,0.019,0.052,0.015,0.081,0.041,0.040,0.014,0.024,0.024,0.038,0.045,0.018,0.000,0.031,0.039,0.016,0.023,0.855,0,
738,4214,0.104,0.036,0.038,0.017,0.016,0.013,0.067,0.026,0.034,0.041,0.077,0.030,0.016,0.023,0.041,0.038,0.031,0.037,0.029,0.006,0.043,0.020,0.046,0.011,0.841,0,
